DATE,PRODUCT,REGION,SALES
2025-01-01,Laptop,North,50000
2025-01-02,Phone,South,30000
2025-01-03,Tablet,East,20000
2025-01-04,Laptop,West,55000
2025-01-05,Phone,North,32000
2025-01-06,Tablet,South,21000
2025-01-07,Laptop,East,60000
2025-01-08,Phone,West,35000
2025-01-09,Tablet,North,22000
2025-01-10,Laptop,South,58000
2025-01-11,Phone,East,34000
2025-01-12,Tablet,West,23000
2025-01-13,Laptop,North,62000
2025-01-14,Phone,South,36000
2025-01-15,Tablet,East,24000
2025-01-16,Laptop,West,61000
2025-01-17,Phone,North,37000
2025-01-18,Tablet,South,25000
2025-01-19,Laptop,East,63000
2025-01-20,Phone,West,38000
